trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,1,-65.20283295436366,"{0: 21, 1: 4, 2: 3, 3: 0, 4: 1}",1
2,False,"{'a': 0.5, 'e': 0.95}",25,0,-95.04174420001,"{0: 18, 1: 0, 2: 4, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9024999999999999}",25,0,-54.7760060859488,"{0: 18, 1: 3, 2: 2, 3: 2, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.8573749999999999}",20,0,-71.04290823290314,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.8145062499999999}",20,0,-223.03103490929058,"{0: 10, 1: 1, 2: 3, 3: 2, 4: 4}",0
6,False,"{'a': 0.5, 'e': 0.7737809374999998}",30,0,-196.2192300281528,"{0: 17, 1: 0, 2: 10, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.7350918906249998}",20,0,-118.1485743155816,"{0: 10, 1: 4, 2: 3, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.6983372960937497}",25,0,-85.68993419239999,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.6634204312890623}",30,0,-166.29078296869892,"{0: 21, 1: 2, 2: 2, 3: 2, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.6302494097246091}",30,0,-45.32235762802849,"{0: 25, 1: 0, 2: 3, 3: 2, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.5987369392383787}",25,10,-53.158783791805256,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.5688000922764597}",20,0,-27.20277780247479,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.5403600876626367}",30,0,-81.13983919283619,"{0: 21, 1: 2, 2: 4, 3: 3, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.5133420832795048}",20,0,-162.77297279879173,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 4}",0
15,False,"{'a': 0.5, 'e': 0.48767497911552954}",30,0,-7.04799477037091,"{0: 26, 1: 2, 2: 1, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.46329123015975304}",20,0,-69.9808084526154,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.44012666865176536}",20,0,-5.390894895935311,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.4181203352191771}",25,0,12.355759048611331,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.3972143184582182}",30,0,-175.52462039179764,"{0: 21, 1: 2, 2: 1, 3: 3, 4: 3}",0
20,False,"{'a': 0.5, 'e': 0.37735360253530725}",20,0,-85.2424161963753,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.3584859224085419}",20,9,-2.84546253264921,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.34056162628811476}",30,3,-79.36349903072303,"{0: 20, 1: 0, 2: 5, 3: 1, 4: 1}",1
23,False,"{'a': 0.5, 'e': 0.323533544973709}",20,0,-67.05709711634022,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.3073568677250236}",30,12,8.083993104185963,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
25,False,"{'a': 0.5, 'e': 0.2919890243387724}",20,0,-48.79313599643932,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.27738957312183377}",25,13,16.34989998282331,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.26352009446574204}",20,0,-98.35008111478622,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
28,False,"{'a': 0.5, 'e': 0.2503440897424549}",20,0,-57.828327202256176,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.23782688525533216}",25,2,18.30019866786054,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.22593554099256555}",25,0,21.380260160761438,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.21463876394293727}",20,0,14.326928927690357,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.2039068257457904}",20,10,-20.566768307263622,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
33,False,"{'a': 0.5, 'e': 0.19371148445850087}",20,0,-57.56143865864182,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.1840259102355758}",20,7,-50.739207318195504,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 1}",1
35,False,"{'a': 0.5, 'e': 0.174824614723797}",30,2,-79.99033677463719,"{0: 23, 1: 0, 2: 1, 3: 3, 4: 1}",1
36,False,"{'a': 0.5, 'e': 0.16608338398760716}",20,10,20.59357562081484,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.5, 'e': 0.1577792147882268}",20,9,17.14144659932333,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.5, 'e': 0.14989025404881545}",25,0,-26.838460427733274,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
39,False,"{'a': 0.5, 'e': 0.14239574134637467}",30,3,11.059479847244011,"{0: 24, 1: 1, 2: 2, 3: 0, 4: 0}",1
40,False,"{'a': 0.5, 'e': 0.13527595427905592}",30,0,15.25934236258145,"{0: 27, 1: 2, 2: 1, 3: 0, 4: 0}",0
41,False,"{'a': 0.5, 'e': 0.12851215656510312}",20,0,-23.32811995347325,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
42,False,"{'a': 0.5, 'e': 0.12208654873684796}",30,0,-63.04046159177207,"{0: 24, 1: 1, 2: 3, 3: 1, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.11598222130000556}",35,12,29.86786974632905,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.11018311023500528}",30,17,-45.5219970465012,"{0: 9, 1: 0, 2: 2, 3: 2, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.10467395472325501}",20,13,3.9605657348883816,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.09944025698709225}",25,5,2.375260040895256,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.09446824413773763}",25,15,6.3116681065925295,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.08974483193085074}",20,8,10.702124122305918,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.0852575903343082}",25,3,40.152696303252526,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.0809947108175928}",25,4,18.406296236376242,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.07694497527671315}",25,7,-12.172146169047979,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.07309772651287749}",20,8,13.799526092691504,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.06944284018723361}",20,2,17.647298615678217,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.06597069817787193}",25,1,20.096214170591665,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.06267216326897833}",20,0,18.211897301597464,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
56,False,"{'a': 0.5, 'e': 0.05953855510552941}",25,0,0.26211507886556085,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
57,False,"{'a': 0.5, 'e': 0.056561627350252934}",30,8,38.41485897614966,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.053733545982740286}",30,8,-29.99385280172055,"{0: 20, 1: 0, 2: 0, 3: 1, 4: 1}",1
59,False,"{'a': 0.5, 'e': 0.051046868683603266}",25,1,42.106897930721715,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.048494525249423104}",20,0,-14.090813694065702,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,6,11.01731363591757,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,0,38.496071007792175,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",25,10,6.710967894270487,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",35,13,40.847906514140604,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,19,12.732213729753036,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",35,20,23.959054698616725,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,5,21.226851265386387,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,3,16.544215322879207,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,14,11.450385710848256,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",30,17,28.298007994460274,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
