trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.6, 'e': 1.0}",25,0,-236.79065018096273,"{0: 14, 1: 1, 2: 3, 3: 3, 4: 4}",0
2,False,"{'a': 0.5999998080000102, 'e': 0.9999995950000273}",25,0,-196.36961551466626,"{0: 13, 1: 4, 2: 3, 3: 2, 4: 3}",0
3,False,"{'a': 0.5999992320001638, 'e': 0.9999983800004374}",20,0,-71.75448391725702,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.5999982720008294, 'e': 0.9999963550022143}",20,0,-164.95227223703992,"{0: 9, 1: 0, 2: 9, 3: 0, 4: 2}",0
5,False,"{'a': 0.5999969280026214, 'e': 0.9999935200069984}",20,0,-51.433148156088166,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
6,False,"{'a': 0.5999952000063999, 'e': 0.9999898750170859}",30,0,-41.60610176334871,"{0: 22, 1: 4, 2: 3, 3: 1, 4: 0}",0
7,False,"{'a': 0.599993088013271, 'e': 0.9999854200354293}",30,0,-161.98318363098826,"{0: 18, 1: 5, 2: 4, 3: 0, 4: 3}",0
8,False,"{'a': 0.5999905920245862, 'e': 0.9999801550656372}",20,1,-64.46490580163353,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 0}",1
9,False,"{'a': 0.599987712041943, 'e': 0.9999740801119742}",30,0,-125.1185319409362,"{0: 19, 1: 4, 2: 5, 3: 0, 4: 2}",0
10,False,"{'a': 0.5999844480671845, 'e': 0.999967195179361}",25,0,-164.86347147615788,"{0: 14, 1: 1, 2: 6, 3: 2, 4: 2}",0
11,False,"{'a': 0.5999808001023997, 'e': 0.9999595002733742}",20,0,-134.64609288037687,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
12,False,"{'a': 0.5999767681499234, 'e': 0.999950995400247}",25,0,-84.32166956434646,"{0: 16, 1: 2, 2: 5, 3: 2, 4: 0}",0
13,False,"{'a': 0.5999723522123359, 'e': 0.9999416805668682}",25,0,-157.08792176488845,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
14,False,"{'a': 0.5999675522924636, 'e': 0.9999315557807827}",20,0,-49.92911099618577,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
15,False,"{'a': 0.5999623683933782, 'e': 0.9999206210501919}",25,0,-137.24153687178412,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
16,False,"{'a': 0.5999568005183975, 'e': 0.9999088763839525}",20,0,-154.15382303021968,"{0: 10, 1: 3, 2: 3, 3: 2, 4: 2}",0
17,False,"{'a': 0.599950848671085, 'e': 0.9998963217915781}",20,0,-63.79673550111754,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
18,False,"{'a': 0.5999445128552497, 'e': 0.9998829572832375}",30,0,-182.07417054154007,"{0: 18, 1: 3, 2: 3, 3: 4, 4: 2}",0
19,False,"{'a': 0.5999377930749468, 'e': 0.9998687828697563}",25,0,-102.42324638865936,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
20,False,"{'a': 0.5999306893344768, 'e': 0.9998537985626156}",20,0,-115.89808993310197,"{0: 9, 1: 5, 2: 4, 3: 1, 4: 1}",0
21,False,"{'a': 0.599923201638386, 'e': 0.9998380043739528}",30,0,-159.5999744827634,"{0: 17, 1: 2, 2: 9, 3: 0, 4: 2}",0
22,False,"{'a': 0.5999153299914667, 'e': 0.9998214003165611}",30,0,-128.03234827238157,"{0: 20, 1: 2, 2: 4, 3: 3, 4: 1}",0
23,False,"{'a': 0.5999070743987567, 'e': 0.9998039864038897}",30,0,-163.58309461122167,"{0: 17, 1: 4, 2: 6, 3: 1, 4: 2}",0
24,False,"{'a': 0.5998984348655395, 'e': 0.999785762650044}",30,0,-256.02520623394025,"{0: 14, 1: 4, 2: 5, 3: 4, 4: 3}",0
25,False,"{'a': 0.5998894113973444, 'e': 0.9997667290697854}",25,0,-135.51631368806196,"{0: 12, 1: 4, 2: 7, 3: 1, 4: 1}",0
26,False,"{'a': 0.5998800039999467, 'e': 0.9997468856785308}",20,0,-91.10980432007825,"{0: 15, 1: 2, 2: 0, 3: 1, 4: 2}",0
27,False,"{'a': 0.5998702126793667, 'e': 0.9997262324923534}",25,0,-87.74091940444299,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
28,False,"{'a': 0.5998600374418712, 'e': 0.9997047695279824}",30,14,-19.84836000987843,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 0}",1
29,False,"{'a': 0.5998494782939722, 'e': 0.9996824968028027}",30,0,-123.82655663008812,"{0: 20, 1: 2, 2: 6, 3: 0, 4: 2}",0
30,False,"{'a': 0.5998385352424275, 'e': 0.9996594143348553}",30,0,-146.56453276315222,"{0: 19, 1: 2, 2: 6, 3: 1, 4: 2}",0
31,False,"{'a': 0.5998272082942407, 'e': 0.9996355221428369}",20,0,-86.9447843959897,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
32,False,"{'a': 0.5998154974566612, 'e': 0.9996108202461003}",25,0,-217.57019131812024,"{0: 12, 1: 5, 2: 1, 3: 4, 4: 3}",0
33,False,"{'a': 0.5998034027371837, 'e': 0.9995853086646539}",25,0,-160.07175669459158,"{0: 12, 1: 1, 2: 9, 3: 2, 4: 1}",0
34,False,"{'a': 0.5997909241435488, 'e': 0.9995589874191622}",20,0,-201.63713366744526,"{0: 9, 1: 2, 2: 4, 3: 2, 4: 3}",0
35,False,"{'a': 0.5997780616837431, 'e': 0.9995318565309452}",20,0,-78.32617516671043,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
36,False,"{'a': 0.5997648153659985, 'e': 0.9995039160219791}",20,8,-33.56635752505188,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
37,False,"{'a': 0.5997511851987923, 'e': 0.9994751659148957}",20,0,-119.58175560875799,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
38,False,"{'a': 0.5997371711908481, 'e': 0.9994456062329826}",20,0,-110.37224706694576,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
39,False,"{'a': 0.5997227733511349, 'e': 0.9994152370001831}",20,0,-140.25183264204162,"{0: 9, 1: 5, 2: 3, 3: 1, 4: 2}",0
40,False,"{'a': 0.5997079916888671, 'e': 0.9993840582410962}",25,0,-216.8646728590544,"{0: 12, 1: 4, 2: 3, 3: 3, 4: 3}",0
41,False,"{'a': 0.5996928262135053, 'e': 0.9993520699809768}",20,0,-68.90682385532008,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
