trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-174.32158158427964,"{0: 15, 1: 3, 2: 2, 3: 2, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-123.99229111927107,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-123.85958397421572,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,11,-49.31145580706941,"{0: 5, 1: 3, 2: 0, 3: 0, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-94.6496958370176,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-162.1692464488847,"{0: 11, 1: 0, 2: 5, 3: 2, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-150.7550075918284,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-117.83571948738043,"{0: 14, 1: 1, 2: 7, 3: 3, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-151.7798874210034,"{0: 10, 1: 4, 2: 2, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-124.72413161387252,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",35,0,-127.74874933698473,"{0: 24, 1: 1, 2: 7, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,6,-53.2087372920306,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-142.8068149914214,"{0: 14, 1: 1, 2: 8, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-182.74450211921516,"{0: 11, 1: 1, 2: 3, 3: 2, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-43.92054576570869,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-139.01461381956446,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-112.48413433694596,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-160.86374071394218,"{0: 13, 1: 4, 2: 4, 3: 2, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,0,-182.30667205561573,"{0: 19, 1: 4, 2: 3, 3: 0, 4: 4}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,0,-158.03075899920324,"{0: 19, 1: 2, 2: 5, 3: 2, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",25,0,-179.28724019524944,"{0: 12, 1: 3, 2: 4, 3: 5, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",30,0,-105.01517651406911,"{0: 19, 1: 7, 2: 2, 3: 0, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",30,0,-43.512458813367516,"{0: 23, 1: 1, 2: 6, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,0,-153.77811503768567,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
5,True,"{'a': 0, 'e': 0}",20,0,-68.36469663084414,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",25,0,-95.14378352239247,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",30,0,-104.14235267526146,"{0: 19, 1: 4, 2: 5, 3: 1, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",20,0,-146.95725362030964,"{0: 9, 1: 3, 2: 4, 3: 3, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",20,0,-130.2025298276486,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
10,True,"{'a': 0, 'e': 0}",20,0,-120.15322835555642,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
